Time,Speed
877800.0,10.9
878400.0,9.0
879000.0,9.1
879600.0,8.8
880200.0,10.9
880800.0,10.8
881400.0,10.5
882000.0,10.4
882600.0,11.5
883200.0,10.2
883800.0,9.8
884400.0,9.2
885000.0,8.9
885600.0,6.9
886200.0,6.6
886800.0,7.6
887400.0,7.7
888000.0,8.5
888600.0,8.6
889200.0,7.7
889800.0,7.5
890400.0,7.4
891000.0,5.7
891600.0,5.8
892200.0,7.1
892800.0,6.6
893400.0,5.3
894000.0,4.1
894600.0,4.4
895200.0,5.7
895800.0,6.4
896400.0,8.5
897000.0,10.0
897600.0,9.5
898200.0,9.2
898800.0,9.4
899400.0,10.0
900000.0,10.8
900600.0,10.6
901200.0,10.5
901800.0,10.4
902400.0,10.9
903000.0,10.7
903600.0,10.9
904200.0,11.4
904800.0,11.7
905400.0,10.8
906000.0,11.1
906600.0,11.4
907200.0,12.0
907800.0,11.6
908400.0,11.5
909000.0,12.4
909600.0,11.7
910200.0,11.5
910800.0,12.3
911400.0,12.1
912000.0,11.2
912600.0,11.0
913200.0,12.0
913800.0,12.4
914400.0,12.3
915000.0,12.6
915600.0,11.7
916200.0,11.4
916800.0,10.8
917400.0,11.0
918000.0,11.2
918600.0,11.1
919200.0,10.6
919800.0,10.6
920400.0,10.9
921000.0,11.3
921600.0,13.0
922200.0,12.4
922800.0,12.5
923400.0,11.6
924000.0,10.9
924600.0,9.9
925200.0,10.9
925800.0,10.0
926400.0,7.3
927000.0,10.2
927600.0,8.7
928200.0,9.7
928800.0,10.6
929400.0,10.5
930000.0,10.5
930600.0,10.1
931200.0,10.3
931800.0,8.9
932400.0,8.6
933000.0,7.2
933600.0,8.9
934200.0,8.8
934800.0,9.1
935400.0,7.4
936000.0,8.4
936600.0,9.2
937200.0,10.9
937800.0,8.0
938400.0,7.0
939000.0,8.7
939600.0,7.7
940200.0,5.9
940800.0,7.6
941400.0,7.8
942000.0,8.7
942600.0,7.5
943200.0,9.0
943800.0,8.3
944400.0,7.6
945000.0,6.3
945600.0,7.0
946200.0,7.1
